parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_4,24,0.7539822368615503,0.7853981633974483,0.7696902001294993,-3211660295.286832
param_4,25,0.7853981633974483,0.8168140899333463,0.8011061266653973,-7624374059.082629
param_4,26,0.8168140899333463,0.8482300164692441,0.8325220532012951,-2175501198.045274
param_4,27,0.8482300164692441,0.8796459430051421,0.8639379797371931,-3185512780.047873
param_4,28,0.8796459430051421,0.9110618695410401,0.8953539062730911,-532384463.5615598
param_4,29,0.9110618695410401,0.9424777960769378,0.926769832808989,-4233715011.979292
param_4,30,0.9424777960769378,0.9738937226128358,0.9581857593448868,-2791079812.278253
param_4,31,0.9738937226128358,1.005309649148734,0.989601685880785,-2043492616.061112
param_4,32,1.005309649148734,1.036725575684632,1.0210176124166832,-3058147946.745673
param_4,33,1.036725575684632,1.06814150222053,1.052433538952581,-5988323151.725451
param_4,34,1.06814150222053,1.099557428756428,1.0838494654884792,-4087246219.549631
param_4,35,1.099557428756428,1.130973355292326,1.115265392024377,-3661755096.168066
param_4,36,1.130973355292326,1.162389281828224,1.146681318560275,-13282432346.8833
param_4,37,1.162389281828224,1.193805208364121,1.1780972450961724,-1764760076.642377
param_4,38,1.193805208364121,1.225221134900019,1.2095131716320702,-4384371842.758158
param_4,39,1.225221134900019,1.256637061435917,1.240929098167968,-14999696435.27702
param_4,40,1.256637061435917,1.288052987971815,1.2723450247038661,-3619484323.455148
param_4,41,1.288052987971815,1.319468914507713,1.3037609512397639,-5598646045.85516
param_4,42,1.319468914507713,1.350884841043611,1.335176877775662,-4367521812.158801
param_4,43,1.350884841043611,1.382300767579509,1.3665928043115598,-1617058816.663973
param_4,44,1.382300767579509,1.413716694115407,1.398008730847458,-2426227354.659448
param_4,45,1.413716694115407,1.445132620651305,1.429424657383356,-3071598895.949283
param_4,46,1.445132620651305,1.476548547187203,1.460840583919254,-6048556769.412031
param_4,47,1.476548547187203,1.507964473723101,1.4922565104551522,-2336846098.046057
param_4,48,1.507964473723101,1.539380400258999,1.52367243699105,-1497603762.410856
param_4,49,1.539380400258999,1.570796326794897,1.5550883635269481,-1979053949.812308
param_4,50,1.570796326794897,1.602212253330795,1.5865042900628459,-4309628186.520347
param_4,51,1.602212253330795,1.633628179866693,1.617920216598744,-4491167938.677573
param_4,52,1.633628179866693,1.66504410640259,1.6493361431346414,-2343395253.026764
param_4,53,1.66504410640259,1.696460032938488,1.6807520696705391,-1915580311.128169
param_4,54,1.696460032938488,1.727875959474386,1.712167996206437,-3673200453.150662
param_4,55,1.727875959474386,1.759291886010284,1.743583922742335,-3843394581.657552
param_4,56,1.759291886010284,1.790707812546182,1.7749998492782328,-2315754083.481269
param_4,57,1.790707812546182,1.82212373908208,1.806415775814131,-5153701710.632631
param_4,58,1.82212373908208,1.853539665617978,1.8378317023500288,-2516467132.338801
param_4,59,1.853539665617978,1.884955592153876,1.869247628885927,-5153585361.877245
param_4,60,1.884955592153876,1.916371518689774,1.9006635554218252,-3236834385.440042
param_4,61,1.916371518689774,1.947787445225672,1.932079481957723,-1979381053.968693
param_4,62,1.947787445225672,1.97920337176157,1.9634954084936211,-3957496327.807211
param_4,63,1.97920337176157,2.010619298297468,1.9949113350295191,-2602045607.716599
param_4,64,2.010619298297468,2.042035224833366,2.026327261565417,-4174110839.540141
param_4,65,2.042035224833366,2.073451151369264,2.0577431881013153,-2162678188.444956
param_4,66,2.073451151369264,2.104867077905161,2.0891591146372126,-3834748234.078425
param_4,67,2.104867077905161,2.13628300444106,2.120575041173111,-4288427767.542762
param_4,68,2.13628300444106,2.167698930976957,2.1519909677090086,-5373474898.693219
param_4,69,2.167698930976957,2.199114857512855,2.1834068942449063,-5218350410.64229
param_4,70,2.199114857512855,2.230530784048753,2.214822820780804,-2606812889.331315
param_4,71,2.230530784048753,2.261946710584651,2.246238747316702,-3096822331.144108
param_4,72,2.261946710584651,2.293362637120549,2.2776546738526,-6805698845.694934
param_4,73,2.293362637120549,2.324778563656447,2.309070600388498,-11541754014.74798
param_4,74,2.324778563656447,2.356194490192345,2.340486526924396,-4517225858.647001
param_4,75,2.356194490192345,2.387610416728243,2.3719024534602937,-4465500961.060944
param_4,76,2.387610416728243,2.419026343264141,2.403318379996192,-7678713364.85319
param_4,77,2.419026343264141,2.450442269800039,2.43473430653209,-3621226323.294211
param_4,78,2.450442269800039,2.481858196335937,2.466150233067988,-5536122182.667029
param_4,79,2.481858196335937,2.513274122871834,2.4975661596038856,-6316205048.212247
param_4,80,2.513274122871834,2.544690049407732,2.528982086139783,-15512547583.84485
param_4,81,2.544690049407732,2.57610597594363,2.560398012675681,-6595769946.269348
param_4,82,2.57610597594363,2.607521902479529,2.5918139392115798,-4403085518.367071
param_4,83,2.607521902479529,2.638937829015426,2.6232298657474775,-7317826394.777563
param_4,84,2.638937829015426,2.670353755551324,2.6546457922833753,-2637319738.618893
param_4,85,2.670353755551324,2.701769682087222,2.686061718819273,-4393330575.457421
param_4,86,2.701769682087222,2.73318560862312,2.717477645355171,-4175471200.944674
param_4,87,2.73318560862312,2.764601535159018,2.748893571891069,-10057749055.71474
param_4,88,2.764601535159018,2.796017461694916,2.780309498426967,-6357124204.585208
param_4,89,2.796017461694916,2.827433388230814,2.811725424962865,-4221854998.902205
param_4,90,2.827433388230814,2.858849314766712,2.8431413514987627,-5252004266.960361
param_4,91,2.858849314766712,2.890265241302609,2.8745572780346604,-8253641056.120888
param_4,92,2.890265241302609,2.921681167838508,2.905973204570558,-6055583444.844778
param_4,93,2.921681167838508,2.953097094374406,2.937389131106457,-10738699897.15945
param_4,94,2.953097094374406,2.984513020910303,2.9688050576423546,-3577426538.819839
param_4,95,2.984513020910303,3.015928947446201,3.0002209841782523,-4007567351.728774
param_4,96,3.015928947446201,3.047344873982099,3.03163691071415,-16028766315.93733
param_4,97,3.047344873982099,3.078760800517997,3.063052837250048,-14403354757.57871
param_4,98,3.078760800517997,3.110176727053895,3.094468763785946,-5975284906.920151
param_4,99,3.110176727053895,3.141592653589793,3.1258846903218442,0.0
param_5,0,0.0,0.06283185307179587,0.031415926535897934,-5359793819.814288
param_5,1,0.06283185307179587,0.1256637061435917,0.09424777960769379,-4964377250.429081
param_5,2,0.1256637061435917,0.1884955592153876,0.15707963267948966,-4827003693.765044
param_5,3,0.1884955592153876,0.2513274122871835,0.21991148575128555,-5257652717.35427
param_5,4,0.2513274122871835,0.3141592653589793,0.28274333882308145,-4946527316.44282
param_5,5,0.3141592653589793,0.3769911184307752,0.3455751918948773,-4886027269.328695
param_5,6,0.3769911184307752,0.439822971502571,0.4084070449666731,-5248631707.931927
param_5,7,0.439822971502571,0.5026548245743669,0.47123889803846897,-4912945996.005377
param_5,8,0.5026548245743669,0.5654866776461628,0.5340707511102649,-4811394656.091129
